-0.294783 -0.941433 0.16373 -1.53256, 0.927719 -0.105166 -0.358158 -1.59183
-0.480171 0.540005 0.691253 -0.441949, 0.170498 -0.813254 -0.55637 -0.695922
-0.581963 0.795142 0.170494 -0.670912, -0.753694 -0.0409815 -0.655946 -0.71415
-0.550341 0.831495 0.075763 -1.22548, -0.734807 0.0526369 -0.676231 -1.57203
-0.21953 -0.9756 -0.00332733 -1.54074, 0.911689 0.0486103 -0.407995 -1.97647
-0.324847 -0.945144 0.0343202 -1.62596, 0.914573 0.0249383 -0.403651 -1.79794
-0.183468 -0.835983 -0.517177 -1.28385, 0.687876 0.693393 -0.214553 -1.72198
-0.357973 -0.592889 -0.721344 -1.24702, 0.61975 0.756858 -0.207545 -1.34103
-0.221423 0.62045 -0.752339 -1.01968, -0.618461 0.777241 -0.115768 -1.15349
-0.10327 0.781094 0.615815 -0.987618, -0.643335 -0.64921 -0.405767 -1.10547
-0.685691 -0.722186 0.0909714 -0.706069, 0.6411 0.0289718 -0.76691 -0.831272
0.0450461 0.998581 0.0284064 -0.577717, -0.993013 -0.049549 -0.107102 -0.753125
-0.696229 0.704615 0.137047 -3.14315, -0.711384 0.0152151 -0.702638 -3.08622
-0.726433 -0.685985 0.0414594 -1.85591, 0.603816 0.104627 -0.790227 -2.07718
-0.592539 -0.358994 -0.721124 -1.87879, 0.320563 0.832201 -0.452416 -1.98674
-0.347527 0.74956 -0.56337 -1.92027, -0.712364 0.64565 -0.275088 -2.07162
-0.415211 0.378186 0.82739 -1.54853, -0.397641 -0.718376 -0.570805 -1.48523
-0.500769 -0.553001 0.665898 -1.1656, 0.461274 -0.604016 -0.649916 -1.19484
-0.638169 -0.769885 0.00420687 -2.76493, 0.747764 0.103512 -0.655846 -2.8373
-0.563151 0.8253 0.0417287 -2.44584, -0.803088 0.090842 -0.588895 -2.52936
-0.388899 0.607852 0.692296 -1.60458, -0.594846 -0.608551 -0.525189 -1.54659
-0.916505 0.3566 0.181259 -5.51146, -0.369542 -0.0138391 -0.929111 -5.40222
-0.611394 -0.791066 0.0202837 -4.05649, 0.790644 0.101447 -0.603813 -4.04281
-0.544993 -0.551713 -0.631344 -4.04003, 0.414562 0.795471 -0.442 -4.34631
-0.705214 -0.306119 0.639503 -3.97338, 0.330944 -0.496967 -0.802184 -3.81914
