-0.583709 0.0210359 0.811691 -0.646638, -0.0563008 -0.666028 -0.743799 -0.582789
-0.539942 -0.811687 -0.222772 -0.706639, 0.764078 0.331518 -0.553426 -0.804516
-0.873472 0.477348 -0.0958451 -0.898204, -0.435705 0.257421 -0.862494 -0.91748
-0.463264 -0.392199 0.794712 -1.11936, 0.414808 -0.671491 -0.614031 -1.08546
-0.83909 0.543872 -0.0114437 -1.56094, -0.481792 0.180644 -0.857464 -1.62756
-0.704914 -0.701016 -0.108041 -1.9275, 0.67096 0.229848 -0.70497 -1.99129
-0.341153 0.268022 0.900988 -0.674266, -0.289569 -0.802086 -0.522309 -0.627754
-0.502771 0.797557 -0.333354 -1.14799, -0.760848 0.426481 -0.489106 -1.2453
